antecedents,consequents,support,confidence,lift
"BATTERY, Siang, Minggu_3","ARREST_NO, Weekday",0.031,0.8857142857142857,1.0506693780715133
"Area_Selatan, Weekday, Malam, Minggu_4",ARREST_NO,0.031,0.8857142857142857,1.0506693780715133
"Area_Selatan, Malam, Minggu_4","ARREST_NO, Weekday",0.031,0.8857142857142857,1.0506693780715133
"Weekday, BATTERY, Siang, Minggu_3",ARREST_NO,0.031,0.8857142857142857,1.0506693780715133
"Area_Selatan, Malam, Minggu_4",ARREST_NO,0.031,0.8857142857142857,1.0506693780715133
"Siang, BATTERY, Minggu_3",ARREST_NO,0.031,0.8857142857142857,1.0506693780715133
PARKING LOT / GARAGE (NON RESIDENTIAL),ARREST_NO,0.037,0.8809523809523808,1.0450206179743544
PARKING LOT / GARAGE (NON RESIDENTIAL),"Weekday, ARREST_NO",0.037,0.8809523809523808,1.0450206179743544
"Weekday, PARKING LOT / GARAGE (NON RESIDENTIAL)",ARREST_NO,0.037,0.8809523809523808,1.0450206179743544
"Pagi, Weekday",ARREST_NO,0.105,0.875,1.0379596678529064
Pagi,"Weekday, ARREST_NO",0.105,0.875,1.0379596678529064
"Pagi, Weekday, Minggu_4",ARREST_NO,0.105,0.875,1.0379596678529064
"Pagi, Minggu_4","Weekday, ARREST_NO",0.105,0.875,1.0379596678529064
"Pagi, Minggu_4",ARREST_NO,0.105,0.875,1.0379596678529064
Pagi,ARREST_NO,0.105,0.875,1.0379596678529064
"Weekday, BATTERY, Siang",ARREST_NO,0.076,0.8735632183908046,1.036255300582212
"BATTERY, Siang",ARREST_NO,0.076,0.8735632183908046,1.036255300582212
"BATTERY, Siang","ARREST_NO, Weekday",0.076,0.8735632183908046,1.036255300582212
"Minggu_4, Malam, Area_Utara","ARREST_NO, Weekday",0.041,0.8723404255319149,1.0348047752454508
"Minggu_4, Malam, Area_Utara",ARREST_NO,0.041,0.8723404255319149,1.0348047752454508
"Malam, Weekday, Minggu_4, Area_Utara",ARREST_NO,0.041,0.8723404255319149,1.0348047752454508
"Area_Tengah, Pagi","Weekday, ARREST_NO",0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Pagi, Minggu_4",ARREST_NO,0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Pagi, Weekday, Minggu_4",ARREST_NO,0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Pagi, Minggu_4","Weekday, ARREST_NO",0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Pagi",ARREST_NO,0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Pagi, Weekday",ARREST_NO,0.034,0.8717948717948718,1.0341576177875111
"Area_Tengah, Siang, Minggu_4",ARREST_NO,0.061,0.8714285714285713,1.0337230977800371
"Area_Tengah, Siang, Minggu_4","ARREST_NO, Weekday",0.061,0.8714285714285713,1.0337230977800371
"Area_Tengah, Weekday, Siang, Minggu_4",ARREST_NO,0.061,0.8714285714285713,1.0337230977800371
